O*NET-SOC Code,Title,gpt4_alpha,gpt4_beta,gpt4_gamma,human_alpha,human_beta,human_gamma,automation,automation_acemoglu,gpt4_alt_beta,OCC_CODE
11-1011.00,Chief Executives,0.0967741935483871,0.45161290322580644,0.8064516129032258,0.16129032258064516,0.3387096774193548,0.5161290322580645,0.3629032258064516,0.3629032258064516,0.3064516129032258,11-1011
11-1011.03,Chief Sustainability Officers,0.16666666666666666,0.5555555555555556,0.9444444444444444,0.05555555555555555,0.38888888888888884,0.7222222222222222,0.5138888888888888,0.5138888888888888,0.5277777777777778,11-1011
11-1021.00,General and Operations Managers,0.0,0.47058823529411764,0.9411764705882353,0.11764705882352941,0.38235294117647056,0.6470588235294118,0.47058823529411764,0.47058823529411764,0.3529411764705882,11-1021
11-1031.00,Legislators,0.03333333333333333,0.4,0.7666666666666666,0.26666666666666666,0.5166666666666666,0.7666666666666666,0.30833333333333335,0.30833333333333335,0.3,11-1031
11-2011.00,Advertising and Promotions Managers,0.0,0.4666666666666667,0.9333333333333333,0.2,0.5166666666666667,0.8333333333333334,0.5083333333333333,0.5083333333333333,0.3333333333333333,11-2011
11-2021.00,Marketing Managers,0.05,0.5,0.9500000000000001,0.25,0.6000000000000001,0.9500000000000001,0.42500000000000004,0.42500000000000004,0.5,11-2021
11-2022.00,Sales Managers,0.0,0.4411764705882353,0.8823529411764706,0.11764705882352941,0.5,0.8823529411764706,0.4117647058823529,0.4117647058823529,0.4117647058823529,11-2022
11-2032.00,Public Relations Managers,0.15000000000000002,0.55,0.9500000000000001,0.25,0.5750000000000001,0.9,0.48750000000000004,0.48750000000000004,0.525,11-2032
11-2033.00,Fundraising Managers,0.125,0.5625,1.0,0.25,0.5,0.75,0.5,0.5,0.4375,11-2033
11-3012.00,Administrative Services Managers,0.1111111111111111,0.41666666666666663,0.7222222222222222,0.2777777777777778,0.5,0.7222222222222222,0.4444444444444444,0.4444444444444444,0.25,11-3012
11-3013.00,Facilities Managers,0.0,0.3181818181818182,0.6363636363636364,0.09090909090909091,0.2727272727272727,0.4545454545454546,0.3409090909090909,0.3409090909090909,0.2727272727272727,11-3013
11-3013.01,Security Managers,0.07142857142857142,0.4821428571428571,0.8928571428571428,0.25,0.5357142857142857,0.8214285714285714,0.39285714285714285,0.39285714285714285,0.3571428571428571,11-3013
11-3021.00,Computer and Information Systems Managers,0.11764705882352941,0.5294117647058824,0.9411764705882353,0.29411764705882354,0.5588235294117647,0.8235294117647058,0.4852941176470588,0.4852941176470588,0.3529411764705882,11-3021
11-3031.00,Financial Managers,0.0,0.47619047619047616,0.9523809523809523,0.047619047619047616,0.45238095238095233,0.8571428571428571,0.5595238095238095,0.5595238095238095,0.38095238095238093,11-3031
11-3031.01,Treasurers and Controllers,0.0,0.4772727272727273,0.9545454545454546,0.13636363636363635,0.4090909090909091,0.6818181818181819,0.5909090909090909,0.5909090909090909,0.4090909090909091,11-3031
11-3031.03,Investment Fund Managers,0.0,0.5,1.0,0.15000000000000002,0.525,0.9,0.5875,0.5875,0.4,11-3031
11-3051.00,Industrial Production Managers,0.047619047619047616,0.47619047619047616,0.9047619047619047,0.14285714285714285,0.3571428571428571,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.42857142857142855,11-3051
11-3051.01,Quality Control Systems Managers,0.07407407407407407,0.5,0.9259259259259258,0.18518518518518517,0.4629629629629629,0.7407407407407407,0.4444444444444444,0.4444444444444444,0.42592592592592593,11-3051
11-3051.02,Geothermal Production Managers,0.1764705882352941,0.47058823529411764,0.7647058823529411,0.1764705882352941,0.4117647058823529,0.6470588235294118,0.39705882352941174,0.39705882352941174,0.38235294117647056,11-3051
11-3051.03,Biofuels Production Managers,0.0,0.2857142857142857,0.5714285714285714,0.07142857142857142,0.17857142857142855,0.2857142857142857,0.30357142857142855,0.30357142857142855,0.17857142857142855,11-3051
11-3051.04,Biomass Power Plant Managers,0.05263157894736842,0.3157894736842105,0.5789473684210527,0.10526315789473684,0.2631578947368421,0.42105263157894735,0.3684210526315789,0.3684210526315789,0.2631578947368421,11-3051
11-3051.06,Hydroelectric Production Managers,0.05263157894736842,0.3421052631578947,0.631578947368421,0.10526315789473684,0.3157894736842105,0.5263157894736842,0.3157894736842105,0.3157894736842105,0.23684210526315788,11-3051
11-3061.00,Purchasing Managers,0.2222222222222222,0.5833333333333333,0.9444444444444444,0.1111111111111111,0.4722222222222222,0.8333333333333333,0.5694444444444444,0.5694444444444444,0.5833333333333333,11-3061
11-3071.00,"Transportation, Storage, and Distribution Managers",0.03333333333333333,0.48333333333333334,0.9333333333333333,0.16666666666666666,0.4666666666666667,0.7666666666666666,0.43333333333333335,0.43333333333333335,0.43333333333333335,11-3071
11-3071.04,Supply Chain Managers,0.0,0.48333333333333334,0.9666666666666667,0.13333333333333333,0.4666666666666667,0.8,0.5333333333333333,0.5333333333333333,0.5,11-3071
11-3111.00,Compensation and Benefits Managers,0.125,0.5,0.875,0.20833333333333331,0.4583333333333333,0.7083333333333333,0.4895833333333333,0.4895833333333333,0.375,11-3111
11-3121.00,Human Resources Managers,0.038461538461538464,0.4807692307692308,0.9230769230769231,0.15384615384615385,0.46153846153846156,0.7692307692307693,0.5,0.5,0.42307692307692313,11-3121
11-3131.00,Training and Development Managers,0.08333333333333333,0.5,0.9166666666666666,0.08333333333333333,0.5,0.9166666666666666,0.5208333333333333,0.5208333333333333,0.5833333333333333,11-3131
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.03333333333333333,0.3833333333333333,0.7333333333333333,0.1,0.23333333333333334,0.36666666666666664,0.3333333333333333,0.3333333333333333,0.2833333333333333,11-9013
11-9021.00,Construction Managers,0.04,0.44,0.84,0.2,0.4,0.6,0.39,0.39,0.2,11-9021
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.058823529411764705,0.47058823529411764,0.8823529411764706,0.29411764705882354,0.5294117647058824,0.7647058823529411,0.4117647058823529,0.4117647058823529,0.4117647058823529,11-9031
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.03125,0.421875,0.8125,0.28125,0.453125,0.625,0.3671875,0.3671875,0.296875,11-9032
11-9033.00,"Education Administrators, Postsecondary",0.034482758620689655,0.46551724137931033,0.896551724137931,0.3793103448275862,0.5,0.6206896551724138,0.43103448275862066,0.43103448275862066,0.29310344827586204,11-9033
11-9041.00,Architectural and Engineering Managers,0.0,0.47619047619047616,0.9523809523809523,0.09523809523809523,0.3333333333333333,0.5714285714285714,0.39285714285714285,0.39285714285714285,0.19047619047619047,11-9041
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.15789473684210525,0.4473684210526315,0.7368421052631579,0.0,0.2894736842105263,0.5789473684210527,0.25,0.25,0.3157894736842105,11-9041
11-9051.00,Food Service Managers,0.07142857142857142,0.42857142857142855,0.7857142857142857,0.21428571428571427,0.42857142857142855,0.6428571428571428,0.42857142857142855,0.42857142857142855,0.3214285714285714,11-9051
11-9071.00,Gambling Managers,0.3157894736842105,0.5526315789473684,0.7894736842105263,0.2631578947368421,0.47368421052631576,0.6842105263157894,0.5657894736842105,0.5657894736842105,0.4473684210526315,11-9071
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.1764705882352941,0.3529411764705882,0.5294117647058824,0.23529411764705882,0.38235294117647056,0.5294117647058824,0.29411764705882354,0.29411764705882354,0.4411764705882353,11-9072
11-9081.00,Lodging Managers,0.041666666666666664,0.4583333333333333,0.875,0.25,0.375,0.5,0.46875,0.46875,0.41666666666666663,11-9081
11-9111.00,Medical and Health Services Managers,0.0,0.41666666666666663,0.8333333333333333,0.1111111111111111,0.3611111111111111,0.611111111111111,0.41666666666666663,0.41666666666666663,0.3333333333333333,11-9111
11-9121.00,Natural Sciences Managers,0.125,0.5625,1.0,0.375,0.5625,0.75,0.359375,0.359375,0.25,11-9121
11-9121.01,Clinical Research Coordinators,0.15151515151515152,0.5303030303030303,0.9090909090909092,0.21212121212121213,0.4545454545454546,0.696969696969697,0.4393939393939394,0.4393939393939394,0.4545454545454546,11-9121
11-9121.02,Water Resource Specialists,0.047619047619047616,0.5,0.9523809523809523,0.14285714285714285,0.42857142857142855,0.7142857142857142,0.39285714285714285,0.39285714285714285,0.42857142857142855,11-9121
11-9131.00,Postmasters and Mail Superintendents,0.15384615384615385,0.5,0.8461538461538463,0.23076923076923078,0.42307692307692313,0.6153846153846154,0.5384615384615385,0.5384615384615385,0.5384615384615385,11-9131
11-9141.00,"Property, Real Estate, and Community Association Managers",0.0,0.42592592592592593,0.8518518518518519,0.18518518518518517,0.4074074074074074,0.6296296296296295,0.4074074074074074,0.4074074074074074,0.2962962962962963,11-9141
11-9151.00,Social and Community Service Managers,0.0625,0.40625,0.75,0.25,0.4375,0.625,0.390625,0.390625,0.375,11-9151
11-9161.00,Emergency Management Directors,0.0,0.41304347826086957,0.8260869565217391,0.3913043478260869,0.5869565217391304,0.7826086956521738,0.41304347826086957,0.41304347826086957,0.41304347826086957,11-9161
11-9171.00,Funeral Home Managers,0.13636363636363635,0.4318181818181818,0.7272727272727273,0.2727272727272727,0.5227272727272727,0.7727272727272727,0.375,0.375,0.38636363636363635,11-9171
11-9179.01,Fitness and Wellness Coordinators,0.08333333333333333,0.375,0.6666666666666666,0.08333333333333333,0.29166666666666663,0.5,0.375,0.375,0.41666666666666663,11-9179
11-9179.02,Spa Managers,0.23809523809523808,0.5238095238095237,0.8095238095238095,0.14285714285714285,0.3571428571428571,0.5714285714285714,0.47619047619047616,0.47619047619047616,0.5,11-9179
11-9199.01,Regulatory Affairs Managers,0.1111111111111111,0.5555555555555556,1.0,0.18518518518518517,0.537037037037037,0.8888888888888888,0.48148148148148145,0.48148148148148145,0.4629629629629629,11-9199
11-9199.02,Compliance Managers,0.06666666666666667,0.5166666666666666,0.9666666666666667,0.36666666666666664,0.5666666666666667,0.7666666666666666,0.5083333333333333,0.5083333333333333,0.4666666666666667,11-9199
11-9199.08,Loss Prevention Managers,0.07407407407407407,0.4444444444444444,0.8148148148148148,0.1111111111111111,0.37037037037037035,0.6296296296296295,0.4444444444444444,0.4444444444444444,0.38888888888888884,11-9199
11-9199.09,Wind Energy Operations Managers,0.0625,0.4375,0.8125,0.1875,0.40625,0.625,0.453125,0.453125,0.46875,11-9199
11-9199.10,Wind Energy Development Managers,0.06666666666666667,0.5333333333333333,1.0,0.26666666666666666,0.5333333333333333,0.8,0.4666666666666667,0.4666666666666667,0.4666666666666667,11-9199
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.043478260869565216,0.45652173913043476,0.8695652173913043,0.21739130434782608,0.41304347826086957,0.6086956521739131,0.3913043478260869,0.3913043478260869,0.43478260869565216,11-9199
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.14285714285714285,0.5357142857142857,0.9285714285714285,0.3571428571428571,0.42857142857142855,0.5,0.46428571428571425,0.46428571428571425,0.2857142857142857,13-1011
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.08333333333333333,0.5416666666666666,1.0,0.08333333333333333,0.25,0.41666666666666663,0.47916666666666663,0.47916666666666663,0.4583333333333333,13-1021
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.05,0.47500000000000003,0.9,0.15000000000000002,0.45,0.75,0.5125000000000001,0.5125000000000001,0.525,13-1022
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.05263157894736842,0.47368421052631576,0.894736842105263,0.15789473684210525,0.3684210526315789,0.5789473684210527,0.5657894736842105,0.5657894736842105,0.5,13-1023
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.10344827586206896,0.5344827586206896,0.9655172413793103,0.1724137931034483,0.48275862068965514,0.7931034482758621,0.5603448275862069,0.5603448275862069,0.5,13-1031
13-1032.00,"Insurance Appraisers, Auto Damage",0.0,0.5,1.0,0.14285714285714285,0.5,0.8571428571428571,0.46428571428571425,0.46428571428571425,0.14285714285714285,13-1032
13-1041.00,Compliance Officers,0.375,0.625,0.875,0.4375,0.59375,0.75,0.53125,0.53125,0.3125,13-1041
13-1041.01,Environmental Compliance Inspectors,0.19230769230769232,0.46153846153846156,0.7307692307692308,0.3076923076923077,0.5,0.6923076923076923,0.4134615384615385,0.4134615384615385,0.40384615384615385,13-1041
13-1041.03,Equal Opportunity Representatives and Officers,0.42105263157894735,0.6052631578947368,0.7894736842105263,0.3157894736842105,0.47368421052631576,0.631578947368421,0.43421052631578944,0.43421052631578944,0.3421052631578947,13-1041
13-1041.04,Government Property Inspectors and Investigators,0.07142857142857142,0.39285714285714285,0.7142857142857142,0.14285714285714285,0.3214285714285714,0.5,0.3214285714285714,0.3214285714285714,0.10714285714285714,13-1041
13-1041.06,Coroners,0.15000000000000002,0.35000000000000003,0.55,0.30000000000000004,0.45,0.6000000000000001,0.2625,0.2625,0.15000000000000002,13-1041
13-1041.07,Regulatory Affairs Specialists,0.09375,0.53125,0.96875,0.40625,0.65625,0.90625,0.5546875,0.5546875,0.484375,13-1041
13-1041.08,Customs Brokers,0.2608695652173913,0.6304347826086957,1.0,0.30434782608695654,0.5869565217391304,0.8695652173913043,0.6195652173913043,0.6195652173913043,0.4782608695652174,13-1041
13-1051.00,Cost Estimators,0.0,0.5,1.0,0.14285714285714285,0.46428571428571425,0.7857142857142857,0.5357142857142857,0.5357142857142857,0.46428571428571425,13-1051
13-1071.00,Human Resources Specialists,0.3076923076923077,0.6346153846153847,0.9615384615384616,0.34615384615384615,0.576923076923077,0.8076923076923077,0.6153846153846154,0.6153846153846154,0.4807692307692308,13-1071
13-1074.00,Farm Labor Contractors,0.0,0.125,0.25,0.0,0.0,0.0,0.28125,0.28125,0.0,13-1074
13-1075.00,Labor Relations Specialists,0.17857142857142855,0.5535714285714285,0.9285714285714285,0.14285714285714285,0.46428571428571425,0.7857142857142857,0.4821428571428571,0.4821428571428571,0.5357142857142857,13-1075
13-1081.00,Logisticians,0.09090909090909091,0.5,0.9090909090909092,0.18181818181818182,0.4545454545454546,0.7272727272727273,0.46590909090909094,0.46590909090909094,0.4545454545454546,13-1081
13-1081.01,Logistics Engineers,0.03333333333333333,0.5166666666666666,1.0,0.4666666666666667,0.6833333333333333,0.9,0.5083333333333333,0.5083333333333333,0.45,13-1081
13-1081.02,Logistics Analysts,0.12903225806451613,0.564516129032258,1.0,0.3870967741935484,0.6451612903225806,0.9032258064516129,0.6854838709677419,0.6854838709677419,0.564516129032258,13-1081
13-1082.00,Project Management Specialists,0.1,0.55,1.0,0.05,0.4,0.75,0.55,0.55,0.55,13-1082
13-1111.00,Management Analysts,0.09090909090909091,0.4090909090909091,0.7272727272727273,0.18181818181818182,0.5,0.8181818181818182,0.5,0.5,0.36363636363636365,13-1111
13-1121.00,"Meeting, Convention, and Event Planners",0.09523809523809523,0.47619047619047616,0.8571428571428571,0.09523809523809523,0.38095238095238093,0.6666666666666666,0.44047619047619047,0.44047619047619047,0.42857142857142855,13-1121
13-1131.00,Fundraisers,0.14285714285714285,0.5,0.8571428571428571,0.25,0.4821428571428571,0.7142857142857142,0.5178571428571428,0.5178571428571428,0.5178571428571428,13-1131
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",0.08333333333333333,0.47916666666666663,0.875,0.29166666666666663,0.4583333333333333,0.625,0.5104166666666666,0.5104166666666666,0.41666666666666663,13-1141
13-1151.00,Training and Development Specialists,0.1,0.55,1.0,0.4,0.5750000000000001,0.75,0.5,0.5,0.45,13-1151
13-1161.00,Market Research Analysts and Marketing Specialists,0.0,0.5,1.0,0.23076923076923078,0.576923076923077,0.9230769230769231,0.6346153846153847,0.6346153846153847,0.42307692307692313,13-1161
13-1161.01,Search Marketing Strategists,0.1111111111111111,0.5555555555555556,1.0,0.027777777777777776,0.5138888888888888,1.0,0.5833333333333333,0.5833333333333333,0.5555555555555556,13-1161
13-1199.04,Business Continuity Planners,0.14285714285714285,0.5714285714285714,1.0,0.19047619047619047,0.5,0.8095238095238095,0.5595238095238095,0.5595238095238095,0.5238095238095237,13-1199
13-1199.05,Sustainability Specialists,0.21428571428571427,0.6071428571428571,1.0,0.42857142857142855,0.6785714285714285,0.9285714285714285,0.5178571428571428,0.5178571428571428,0.6071428571428571,13-1199
13-1199.06,Online Merchants,0.38235294117647056,0.6470588235294118,0.9117647058823529,0.3235294117647059,0.5735294117647058,0.8235294117647058,0.6691176470588235,0.6691176470588235,0.5147058823529411,13-1199
13-1199.07,Security Management Specialists,0.17391304347826086,0.5217391304347826,0.8695652173913043,0.13043478260869565,0.41304347826086957,0.6956521739130435,0.42391304347826086,0.42391304347826086,0.3695652173913043,13-1199
13-2011.00,Accountants and Auditors,0.1,0.55,1.0,0.16666666666666666,0.5166666666666666,0.8666666666666667,0.625,0.625,0.2833333333333333,13-2011
