Title,O*NET-SOC Code,pct_occ_scaled,feedback_loop_ratio,directive_ratio,validation_ratio,task_iteration_ratio,learning_ratio,filtered_ratio,augmentation_weighted_ratio,automation_weighted_ratio
Computer Programmers,15-1131.00,7.642668691159274,0.26738363024382233,0.2657964589661495,0.03996661467312477,0.23194592671647093,0.18446761349642882,0.01043975590400343,0.4563801548860245,0.5331800892099718
"Software Developers, Systems Software",15-1133.00,7.134854979335058,0.304944806646164,0.2807422950371171,0.03668483239247737,0.23925018137227355,0.12333070333358566,0.015047181218381922,0.3992657170983366,0.5856871016832812
Web Developers,15-1134.00,4.577747940214732,0.12076113896725411,0.3306682809269814,0.017635032494603253,0.29505556634267244,0.20899340970612082,0.0268865715623678,0.5216840085433965,0.4514294198942355
"Software Developers, Applications",15-1132.00,3.6392589827273327,0.2897069598823817,0.2499006278404873,0.042842570554233246,0.19924237707783593,0.1945539267567321,0.023753537888329603,0.4366388743888013,0.539607587722869
Network and Computer Systems Administrators,15-1142.00,3.058385069785394,0.44924265736656754,0.08824836735391658,0.023284439429685087,0.033473518651485595,0.37132013539850234,0.03443088179984261,0.428078093479673,0.5374910247204842
Tutors,25-3099.02,2.180721518285793,0.016591541191138325,0.3099165627697324,0.0657907355902944,0.29150282919344017,0.28977654167066275,0.026421789584731802,0.6470701064543973,0.3265081039608707
Software Quality Assurance Engineers and Testers,15-1199.01,1.7583596590570452,0.2366934284864704,0.15908415105560506,0.1069878085043116,0.07671721677074037,0.3654475170978294,0.05506987808504302,0.5491525423728814,0.3957775795420755
Computer Systems Analysts,15-1121.00,1.6388351220185553,0.18950995405819301,0.18312914752424703,0.07893057682491067,0.1426748340990301,0.3577718223583461,0.047983665135272975,0.5793772332822869,0.37263910158244007
Bioinformatics Technicians,43-9111.01,1.4917038677638264,0.15709779179810723,0.24128987031195234,0.028321065545040255,0.16922537679635472,0.3573080967402735,0.0467577988082718,0.5548545390816684,0.3983876621100596
Instructional Designers and Technologists,25-9031.01,1.484174763068488,0.010145846544070981,0.3606707531881914,0.01972803494680474,0.4610019023462272,0.1078700767984217,0.040583386176283834,0.5886000140914536,0.3708165997322624
Technical Writers,27-3042.00,1.377303304754109,0.013362690760003014,0.3729405512109939,0.05011009035001137,0.389036519626452,0.14805253967048812,0.026497608382051424,0.5871991496469515,0.3863032419709969
Web Administrators,15-1199.03,1.1469859007057503,0.4102201759584266,0.11510233851483792,0.02279254228016587,0.08273692847700229,0.34179696403336834,0.027351050736198895,0.44732643479053646,0.5253225144732645
Actors,27-2011.00,1.0619174747382867,0.022944362383062508,0.634465780403742,0.0018709995076316697,0.24972919743968494,0.01221073362875426,0.07877892663712444,0.26381093057607086,0.6574101427868045
Computer and Information Research Scientists,15-1111.00,0.9908615491760349,0.09171019998944642,0.18737797477705664,0.04685768561025804,0.19919793150757217,0.4379716109967812,0.03688459711888535,0.6840272281146115,0.27908817476650305
Clergy,21-2011.00,0.9881949912631026,0.012063492063492005,0.29777777777777786,0.015449735449735418,0.2239153439153439,0.40878306878306886,0.0420105820105818,0.6481481481481481,0.30984126984126986
Statisticians,15-2041.00,0.9359095419899225,0.049720670391061386,0.2636871508379888,0.09441340782122903,0.13016759776536307,0.41497206703910616,0.04703910614525136,0.6395530726256983,0.3134078212290502
Copy Writers,27-3043.04,0.934340978511727,0.0033575825405707817,0.35176273083379966,0.04577504196978175,0.5769445998880806,0.006827084499160568,0.015332960268606472,0.6295467263570229,0.35512031337437044
Computer Systems Engineers/Architects,15-1199.02,0.9302627134684187,0.15119154676258995,0.21740107913669066,0.021582733812949614,0.18806205035971219,0.3833183453237411,0.038444244604316294,0.5929631294964028,0.3685926258992806
Database Administrators,15-1141.00,0.9143679368893722,0.30032021957914007,0.18732845379688925,0.08108417200365964,0.139295516925892,0.2569762122598353,0.034995425434583595,0.477355901189387,0.48764867337602935
Interpreters and Translators,27-3091.00,0.9079891120780442,0.005182540596567988,0.5863180928250608,0.0708280548197627,0.21248416445928828,0.0752044224346423,0.04998272486467778,0.3585166417136933,0.5915006334216287
Database Architects,15-1199.06,0.9075708284838588,0.12731881553174326,0.1522064754003917,0.04551215577831545,0.19045973038368474,0.4404885355455698,0.04401428736029476,0.67646042170757,0.27952529093213496
Archivists,25-4011.00,0.8997280110928819,0.013017201301720023,0.49674569967457005,0.02859135285913523,0.338563458856346,0.08519293351929325,0.03788935378893511,0.45234774523477445,0.5097629009762901
"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-4012.00,0.863337338398749,0.24333817829457363,0.35562015503875966,0.052446705426356516,0.22262596899224804,0.11094961240310076,0.015019379844961203,0.3860222868217053,0.5989583333333333
